id,title,artists,album,album_id,year,genre,duration_ms,added_at,available,content_warning
142815695,NZT,DMON x ADONEL,Системная ошибка,38650406,2025,rusrap,143710,2026-03-14T20:20:17+00:00,True,explicit
137661142,Accordion Techno Beat,Ganger Baster,Accordion Techno Beat,36006435,2025,dance,184610,2026-03-13T16:21:51+00:00,True,
141538468,Заверни,NIKOS,Заверни,37654414,2025,rusrap,119000,2026-03-10T09:31:03+00:00,True,
133654239,GRAU,UdieNnx,GRAU,34310995,2024,latinfolk,97860,2026-03-09T19:25:47+00:00,True,
136704404,RITMO DO TAMBOR,"DYGO, Nulteex",RITMO DO TAMBOR,35652442,2025,electronics,89530,2026-03-09T18:44:51+00:00,True,
130347747,Повесть,Экси,Повесть,32969324,2024,rusrap,126380,2026-03-08T09:30:37+00:00,True,explicit
144369728,Eclipso,SkyCan,Eclipso,38825514,2025,alternative,154070,2026-03-07T10:21:44+00:00,True,
146161763,Mania,"Overrated, r0pss, Frailty",Mania,39719505,2025,dance,163730,2026-03-07T10:18:59+00:00,True,
890839,The Requiem,Linkin Park,A Thousand Suns,101563,2010,numetal,121120,2026-03-06T22:05:49+00:00,True,
77225943,Непоправимо,"Osya, Platinum Monkey, D.Tarasyuk",Непоправимо,13675338,2021,pop,237270,2026-03-04T19:20:14+00:00,True,
137557210,KRUSH INFERNAL,"DYGO, Mxng0, RAIZHELL",KRUSH INFERNAL,35963882,2025,dance,110180,2026-02-27T19:31:40+00:00,True,
145065883,Tomorrow,ALBLAK 52,QUATTRO: La Famiglia,39144383,2025,rusrap,120000,2026-02-26T20:19:13+00:00,True,explicit
133933536,VILLAGE FUNK!,"bear bear & friends, MVSTERIOUS, FUNK DEMON, EVO",SLAVA FUNK WORLDWIDE,34411743,2024,electronics,141460,2026-02-26T20:17:13+00:00,True,
148137769,Актриса,"ICEGERGERT, Елизавета Базыкина",Глаз Бога,40626387,2026,rusrap,139740,2026-02-26T20:14:07+00:00,True,explicit
139370315,Amor na Praia (Slowed),Flame Runner,Amor Na Praia,36713628,2025,electronics,101480,2026-02-26T18:13:39+00:00,True,
123387216,Где-то в глубине сердца,"NAVAI, MACAN",Как Есенин,30069631,2024,ruspop,190800,2026-02-25T16:50:03+00:00,True,
129164691,AVANGARD,LONOWN,Avangard,37728515,2024,dance,199450,2026-02-24T20:00:12+00:00,True,explicit
139556882,FINA LANA (SLOWED),"6YNTHMANE, LXGHTXNG",FINA LANA (SLOWED),36793810,2025,electronics,90300,2026-02-24T19:53:34+00:00,True,explicit
147748490,BATIDAO FUNK,"ZXKAI, Rezcaze, MC Kaique SP, Kingxnd",BATIDAO FUNK,40458494,2026,folk,120460,2026-02-24T19:05:48+00:00,True,
132992016,Can't Get Enough,"hornja, Tehnik",Can't Get Enough,34040161,2023,dance,128930,2026-02-24T18:28:07+00:00,True,
95725624,Эскизы,Xcho,Эскизы,19540284,2021,rusrap,170000,2026-02-21T21:04:12+00:00,True,
144867454,Пообещай мне,"ТРАВМА, SODA LUV",[нулевая частота],39056035,2025,ruspop,120580,2026-02-20T20:31:38+00:00,True,
148137770,G-Woman,ICEGERGERT,Глаз Бога,40626387,2026,rusrap,140800,2026-02-20T20:17:36+00:00,True,
142319106,Next To Me,"WHYGLØØMY, Butch U",Next To Me,37977377,2025,electronics,92350,2026-02-20T20:13:09+00:00,True,
144651412,"Ай, калина (Kavkaz Remix)","Koss, LIZA, kvmly, zovo","Ай, калина",38953802,2025,pop,132870,2026-02-20T19:57:59+00:00,True,explicit
